iter	Logloss
0	0.687409101211	0.6822442736
2	0.6773304531
3	0.6720415388
4	0.6665912083
5	0.6625186375
6	0.65729146687	0.6482546328
8	0.6432940586
9	0.6380392568110	0.6331249837
11	0.6279273262
12	0.623000409
13	0.6189375239
14	0.6144867411515	0.60965503816	0.6087707142
17	0.6045394713
18	0.5996985854
19	0.5958543235
20	0.5916387202
21	0.5873606578
22	0.5827791567
23	0.5799319267
24	0.575868349
25	0.5713905641
26	0.5675722451
27	0.5641349908
28	0.560646705
29	0.5570905313
30	0.5537513301
31	0.5506327781
32	32	0.5458959186
33	0.5429604012
34	0.5397739798
35	0.5368251577
36	0.534424853
37	0.5312077388
38	0.5279961722
39	0.5253209773
40	0.5221598635
41	0.5196105984
42	0.5182360824
43	0.515896594
44	0.512575357
45	0.5102671432
46	0.5072605725
47	0.5051139686
48	0.5020584848
49	0.4996799517
50	0.4978224478
51	0.4951141804
52	0.4925542901
53	0.4901410323
54	0.4876953053
55	0.4856496114
56	0.4833826837
57	0.4809602105
58	0.4790946173
59	0.4766549582
60	0.4745847235
61	0.4723211898
62	0.4702603394
63	0.4681567539
64	0.4663560406
65	0.4640021816
66	0.4623147151
67	0.4604888112
68	0.4584956066
69	0.4565005274
70	0.455276532
71	0.4531490161
72	0.4513619305
73	0.4494408656
74	0.4475240615
75	0.4463337878
76	0.4451680209
77	0.4434500694
78	0.4419941191
79	0.4404273757
80	0.4394785367
81	0.4380342165
82	0.4365993191
83	0.4354514393
84	0.4339185303
85	0.432439529
86	0.4313323228
87	0.4298324312
88	0.4283069376
89	0.4269841174
90	0.4262206091
91	0.4245722042
92	0.4234572032
93	0.4217645476
94	0.4211626078995	0.420194702196	0.4421994187
97	0.4407766331
98	0.4397482392
99	0.4386357129
100	0.43784046
101	0.4366466338
102	0.4357396636
103	0.4348968323
104	0.4337611385
105	0.4327240706
106	0.432375424
107	0.431230827
108	0.4300707702
109	0.4291790943
110	0.4287144794
111	0.4275895013
112	0.4263775077
113	0.4255702349
114	0.4246249783
115	0.4236925386
116	0.422541596
117	0.4222606761
118	0.4214756319
119	0.4206230439
120	0.4194779147
121	0.41850278
122	0.4178894871
123	0.4168157099
124	0.415858276
125	0.41501507
126	0.4142768105
127	0.4136021637
128	0.4129707161
129	0.4120495944
130	0.41130	0.131	0.411123457
132	0.4102791756
133	0.4098951712
134	0.409647134	0135	0.408942135	0136	0.408745136	0.3851421452
137	0.3846494035
138	0.3836331656
139	0.3828695143
140	0.3822964256
141	0.3813142	0.3142	0.3807881918
143	0.3802709946
144	0.3796885784
145	0.3790240805
146	0.3788354827
147	0.3780148	0.3148	0.3776149	0.3149	0.3768150	0.3150	0.3761151	0.3151	0.3754606995
152	0.3750062153
153	0.374154	0.37154	0.373155	0.37155	0.373156	0.3156	0.3724157	0.3768409171
158	0.3158	0.3711159	0.3762764674
160	0.3756935902
16161	0.37164291016162	0.371080321163	0.3742797751
164	0.3736803475
165	0.3731097926
166	0.3725192112
167	0.3719341829
168	0.3716509674
169	0.371178764
170	0.3708343657
171	0.370580415
172	0.3704454867
173	0.3698238857
174	0.369294715
175	0.3691082166
176	0.3685755372
177	0.3681077392
178	0.3678370891
179	0.3674250684
180	0.3672132985
181	0.3668712626
182	0.3663261661
183	0.3659629846
184	0.3656832801
185	0.3653609014
186	0.3648412463
187	0.3644365774
188	0.36410143
189	0.36376326
190	0.3633922425
191	0.363067747
192	0.3626073354
193	0.3625469428
194	0.3619549031
195	0.3615639891
196	0.3610546358
197	0.3608697759
198	0.3603519091
199	0.3600473684
200	0.3596162702
201	0.3593645049
202	0.3591052813
203	0.358826263
204	0.3584567631
205	0.3582374794
206	0.3577474828
207	0.3574494889
208	0.3572812317
209	0.3569903513
210	0.3567333795
211	0.3563042359
212	0.3559360836
213	0.3557740379
214	0.3553379216
215	0.3548252683
216	0.3542492509
217	0.3539311189
218	0.3535252988
219	0.3533937963
220	0.3533201058
221	0.3529829291
222	0.3527962115
223	0.3525272524
224	0.3520981956
225	0.3515979708
226	0.3512218685
227	0.3509628852
228	0.3509022333
229	0.3505562986
230	0.3502905795
231	0.34232	0.366232	0.34233	0.366233	0.34234	0.366234	0.3235	0.3660235	0.3236	0.3657586128
237	0.3652237	0.3238	0.3648238	0.3239	0.3645239	0.3240	0.3642240	0.3471546355
241	0.3242	0.3634242	0.3243	0.3632243	0.3244	0.3628244	0.3461309248
245	0.3458304769
246	0.3456603732
247	0.3452764801
248	0.3450734342
249	0.3447783221
250	0.3447575363
251	0.3443595606
252	0.3441360535
253	0.343885916
254	0.3437147393
255	0.3434401518
256	0.3431189887
257	0.3428294676
258	0.3425405097
259	0.260	0.35846260	0.3421092605
261	0.3420502227
262	0.3415786406
263	0.3413630536
264	0.3411410326
265	0.3408577767
266	0.3407441233
267	0.3406234135
268	0.340453855
269	0.3400843883
270	0.3399274234
271	0.3395546856
272	0.3394047752
273	0.3393137599
274	0.3392443729
275	0.3390781319
276	0.3388443123
277	0.3385796672
278	0.3382434925
279	0.3381039527
280	0.3379864901
281	0.337796291
282	0.3376507947
