iter	Passed	Remaining
0	439	439392
1	451	225490
2	453	150649
3	462	115142
4	464	92483
5	467	77460
6	472	66998
7	480	59640
8	489	53846
9	495	49068110	502	45196
11	512	42180
12	520	39541
13	522	36781
14	528	34690115	536	3301116	452	26184
17	460	25118
18	469	24233
19	482	23642
20	484	22609
21	499	22186
22	513	21817
23	515	20954
24	529	20659
25	534	20020
26	540	19464
27	543	18871
28	547	18328
29	549	17763
30	551	17251
31	554	16760
332	652	19105
33	660	18755
34	663	18295
35	671	17975
36	681	17738
37	699	17712
38	707	17425
39	710	17049
40	717	16778
41	725	16545
42	730	16248
43	732	15912
44	738	15662
45	741	15384
46	748	15183
47	750	14891
48	756	14690
49	760	14455
50	768	14308
51	775	14137
52	779	13935
53	788	13819
54	797	13705
55	803	13549
56	806	13349
57	811	13183
58	814	12992
59	820	12854
60	823	12682
61	833	12604
62	837	12454
63	841	12305
64	844	12150
65	851	12045
66	853	11889
67	858	11771
68	861	11620
69	865	11492
70	868	11363
71	871	11231
72	875	11123
73	884	11065
74	887	10947
75	890	10830
76	896	10741
77	907	10731
78	913	10647
79	918	10557
80	919	10431
81	924	10351
82	926	10238
83	930	10147
84	935	10065
85	942	10014
86	945	9920
87	949	9839988	953	9760
89	959	9705
90	961	960193	826	93	87992	96894	87993	97295	8896	836	96	890	8287
97	894	8229
98	898	8175
99	90100	851100	907	8076
101	911	8023
102	919	8005
103	921	7939
104	923	7875
105	930	7850
106	931	7778
107	938	7747
108	945	7731
109	947	7669
110	949	7608
111	952	7555
112	956	7510
113	962	7484
114	965	7428
115	970	7397
116	975	7362
117	978	7315
118	984	7288
119	987	7244
120	992	7211
121	998	7184
122	1003	7156
123	1006	7111
124	1014	7104
125	1017	7054
126	1021	7023
127	1023	6974
128	1028	6944
129	1033	6916
130	1034	6864
131	1039	6835
132	1043	6801
133	1044	6753
134	1046	6707
135	1050	6676
136	1052	66313137	1055	659138	10140	1010139	1065	6544
140	1070	6521
141	10143	1023142	1082	6485
143	1084	6449
144	1087	6414
145	1093	6396
146	1099	6379
147	1107	6372
148	1113	6357
149	1117	6332
150	11152	1073151	11153	1074152	11154	1080	5890
155	1082154	11156	1089155	11157	1096156	11158	1100157	11159	1109	5823
160	1115	5811
161	1122	5803
162	1127	5788
163	1130	5760
164	1135	5747
165	1139	5724
166	1144	5708
167	1148	5688
168	1150167	1204	5965
168	12170	1156169	1211	5917
170	1218	5909
171	1221	5879
